name,medicare_provider_number,address,city,county,state,zip_code,telephone,primary_contact,coo,cfo,cmo,cio,chr,cno,web_address,control,services,staffed_beds,personnel
LOST RIVERS MEDICAL CENTER,131324,551 Highland Drive,ARCO,Butte County,IDAHO,83213-9771,208/527-8206,"Brad Huerta, Chief Executive Officer and Administrator",,"Jon Smith, Chief Financial Officer","Jeffrey Haskell, M.D.",,"Tina Akins, Director Human Resources","Geri Cammack, R.N.",www.lostriversmedical.com,"Hospital district or authority, Government, Nonfederal",General medical and surgical,43,
BINGHAM MEMORIAL HOSPITAL,131325,98 Poplar Street,BLACKFOOT,Bingham County,IDAHO,83221-1799,208/785-4100,"Jake Erickson, Chief Executive Officer",,"Randy Nightengale, Chief Financial Officer",,"Robert Weis, Director Information Systems","Tara Preston, Director Human Resources","Holly Davis, Chief Nursing Officer",www.binghammemorial.org,Other not-for-profit (including NFP Corporation),General medical and surgical,85,
GROVE CREEK MEDICAL CENTER,130073,350 North Meridian Street,BLACKFOOT,Bingham County,IDAHO,83221-1625,208/782-0300,"Jake Erickson, Chief Executive Officer",,,,"Robert Weis, Director Information Technology","Tara Preston, Director Human Resources","Nathan Buck, R.N.",https://grovecreekmc.org/,"Corporation, Investor-owned (for-profit)",Obstetrics and gynecology,8,
STATE HOSPITAL SOUTH,134010,700 East Alice Street,BLACKFOOT,Bingham County,IDAHO,83221-4925,208/785-1200,"Randy Rodriguez, Hospital Administrator","Greg Horton, Director Support Services","Angela Loosli, Assistant Administrator",Kelly Palmer,"Julie Sutton, Director Performance Improvement","Sheryl Donnelly, Human Resources Specialist","Randy Walker, Director Nursing Services",www.healthandwelfare.idaho.gov,,Psychiatric,135,
BOISE VA MEDICAL CENTER,,500 West Fort Street,BOISE,Ada County,IDAHO,83702-4598,208/422-1000,"David P. Wood, FACHE",,"Ron Blanton, Chief Fiscal Services","Paul Lambert, M.D.",,"Randy Turner, Chief Human Resource Management Services",,www.boise.va.gov/,"Veterans Affairs, Government, federal",General medical and surgical,92,2104
INTERMOUNTAIN HOSPITAL,134002,303 North Allumbaugh Street,BOISE,Ada County,IDAHO,83704-9208,208/377-8400,"Todd Hurt, Chief Executive Officer",,"JeDonne Hines, Chief Financial Officer",,,"Nancy Nelson, Director Human Resources",,www.intermountainhospital.com,"Corporation, Investor-owned (for-profit)",Psychiatric,151,
LIFEWAYS BEHAVIORAL HOSPITAL,134009,8050 Northview Street,BOISE,Ada County,IDAHO,83704-7126,208/327-0504,"David Fenton, Administrator","Liz Johnsen, Chief Operations Officer","Steve Jensen, Chief Financial Officer","David Kent, M.D.","Debra Alexander, Chief Information Officer","Christine Gray, Chief Human Resource Officer",,https://www.lifeways.org/boise-idaho,"Corporation, Investor-owned (for-profit)",Psychiatric,22,
SAINT ALPHONSUS REGIONAL MEDICAL CENTER,130007,1055 N Curtis  Rd,BOISE,Ada County,IDAHO,83706-1309,208/367-2121,"Travis Leach, FACHE",,"Kenneth Fry, Chief Financial Officer","Steve Brown, M.D.","Dwight Pond, TIS Boise","Teresa Sargent, Vice President Human Resources","Sherry Parks, R.N.",www.saintalphonsus.org,Other not-for-profit (including NFP Corporation),General medical and surgical,415,3314
"SAINT ALPHONSUS REGIONAL REHABILITATION HOSPITAL, AN AFFILIATE OF ENCOMPASS HEALTH",133028,711 North Curtis Road,BOISE,Ada County,IDAHO,83706-1445,208/605-3000,"Joe Griffin, Chief Executive Officer",,,,,,,https://www.encompasshealth.com/locations/boiserehab,"Corporation, Investor-owned (for-profit)",Rehabilitation,40,
ST. LUKE'S REGIONAL MEDICAL CENTER,130006,190 East Bannock  Street,BOISE,Ada County,IDAHO,83712-6241,208/381-2222,"Dennis Mesaros, Vice President",,"Jeff Taylor, Vice President Finance",Jim Souza,"Reid Stephan, Chief Information Officer","Phillip Johnson, Vice President","Barbara Hocking, Chief Nursing Officer",https://www.stlukesonline.org/communities-and-locations/facilities/,Other not-for-profit (including NFP Corporation),General medical and surgical,579,5907
TREASURE VALLEY HOSPITAL,130063,8800 West Emerald Street,BOISE,Ada County,IDAHO,83704-8205,208/373-5000,"Nick Genna, Administrator",,,"Jeffrey Hessing, M.D.",,"Kathleen Phelps, Director Human Resources",,www.treasurevalleyhospital.com,"Corporation, Investor-owned (for-profit)",General medical and surgical,9,
VIBRA HOSPITAL OF BOISE,132002,6651 West Franklin Road,BOISE,Ada County,IDAHO,83709-0914,877/801-2244,"Matthew Marakis, Chief Executive Officer",,,,,,,www.vhboise.com,"Corporation, Investor-owned (for-profit)",Acute long-term care hospital,60,
BOUNDARY COMMUNITY HOSPITAL,131301,6640 Kaniksu Street,BONNERS FERRY,Boundary County,IDAHO,83805-7532,208/267-3141,"April Bennett, Chief Executive Officer",,"Julie Leonard, Chief Financial Officer","Chuck Newhouse, M.D.",,"Ann Coughlin, Director Human Resources","Tari Yourzek, Chief Nursing Officer",www.boundarycommunityhospital.org,"County, Government, Nonfederal",General medical and surgical,48,
CASSIA REGIONAL HOSPITAL,131326,1501 Hiland Avenue,BURLEY,Cassia County,IDAHO,83318-2688,208/678-4444,"Michael Blauer, Administrator",,"Justin Wiser, Chief Financial Officer","Bernard Boehmer, M.D.","Jared Gallup, Chief Information Officer","Eric Gochnour, Chief Human Resource Officer","Michele Pond-Bell, R.N.",www.cassiaregional.org,Other not-for-profit (including NFP Corporation),General medical and surgical,25,275
WEST VALLEY MEDICAL CENTER,130014,1717 Arlington,CALDWELL,Canyon County,IDAHO,83605-4802,208/459-4641,,,"Kate Fowler, Chief Financial Officer","Richard Augustus, M.D.","Jason Martinez, Director Information Technology","Senta Cornelius, Director Human Resources","Edith E Irving, R.N.",www.westvalleymedctr.com,"Corporation, Investor-owned (for-profit)",General medical and surgical,105,
CASCADE MEDICAL CENTER,130779,402 Lake Cascade Pkwy,CASCADE,Valley County,IDAHO,83611-7702,208/382-4242,"Tom Reinhardt, Chief Executive Officer",,"Penny Lancaster, Controller","Mikael Bedell, M.D.",,,"Teri Coombs, R.N.",https://cmchd.org/,"Hospital district or authority, Government, Nonfederal",General medical and surgical,6,59
"NORTH IDAHO BEHAVIORAL HEALTH, DIVISION OF KOOTENAI MEDICAL KOOTENAI HEALTH",130049,2003 Kootenai Health Way,COEUR D ALENE,Kootenai County,IDAHO,83814-2677,208/625-4000,"Jameson C. Smith, FACHE","Duke Walker, Chief Operating Officer","Kimberly Webb, Chief Financial Officer",Karen Cabell,,"Daniel Klocko, Vice President Human Resources",,www.kh.org,Other not-for-profit (including NFP Corporation),General medical and surgical,365,3993
ST. MARY'S HEALTH,131321,701 Lewiston Street,COTTONWOOD,Idaho County,IDAHO,83522-9750,208/962-3251,"Lenne Bonner, President",,"Jyl Ruland, Chief Financial Officer",,,"Debbie Schumacher, Chief Human Resource Officer",,www.smh-cvhc.org/,Other not-for-profit (including NFP Corporation),General medical and surgical,25,211
IDAHO FALLS COMMUNITY HOSPITAL,130074,2327 Coronado Street,IDAHO FALLS,Bonneville County,IDAHO,83404-7407,208/528-1000,"James Adamson, Chief Executive Officer","Casey Jackman, Chief Operating Officer","Russell Taylor, Comptroller",Joseph Anderson,,,,www.idahofallscommunityhospital.com,"Partnership, Investor-owned (for-profit)",General medical and surgical,88,
MOUNTAIN VIEW HOSPITAL,130065,2325 Coronado Street,IDAHO FALLS,Bonneville County,IDAHO,83404-7407,208/557-2700,"James Adamson, Chief Executive Officer","Peter Fabrick, Vice President Clinical Operations",,,,"Eilene Horne, Manager Human Resources",,www.mountainviewhospital.org,"Corporation, Investor-owned (for-profit)",General medical and surgical,22,
ST. LUKE'S JEROME,131310,709 North Lincoln Street,JEROME,Jerome County,IDAHO,83338-1851,208/814-9500,"Kevin Watson, Chief Operating Officer and Chief Nursing Officer","Kevin Watson, Chief Operating Officer and Chief Nursing Officer",,"Elizabeth Sugden, M.D.",,"Mark Stevens, Director Human Resources","Kevin Watson, Chief Operating Officer and Chief Nursing Officer",www.stlukesonline.org/jerome/,Other not-for-profit (including NFP Corporation),General medical and surgical,16,124
SHOSHONE MEDICAL CENTER,131314,25 Jacobs Gulch,KELLOGG,Shoshone County,IDAHO,83837-2023,208/784-1221,"Paul Lewis, Chief Executive Officer",,"Donja Erdman, Chief Financial Officer","David Lawhorn, M.D.","John Wohlman, Manager Information Systems","Dana Hemphill, Manager Human Resources","Karen Mann, R.N.",www.shoshonehealth.com,"Hospital district or authority, Government, Nonfederal",General medical and surgical,25,
ST. LUKE'S WOOD RIVER MEDICAL CENTER,131323,100 Hospital Drive,KETCHUM,Blaine County,IDAHO,83340,208/727-8800,"Almita Nunnelee, R.N.","Almita Nunnelee, R.N.",,,,,"Almita Nunnelee, R.N.",https://www.stlukesonline.org/communities-and-locations/facilities/,Other not-for-profit (including NFP Corporation),General medical and surgical,25,274
TETON VALLEY HEALTH CARE,131313,120 E Howard Avenue,DRIGGS,Teton County,IDAHO,83422-5112,208/354-2383,"Troy Christensen, Chief Executive Officer",,"Wesley D White, Chief Financial Officer","Nathan Levanger, M.D.",,"Dory Harris, Director Human Resource","Angela Booker, Director of Nursing Services",www.tvhcare.org,Other not-for-profit (including NFP Corporation),General medical and surgical,13,
VALOR HEALTH,131318,1202 East Locust Street,EMMETT,Gem County,IDAHO,83617-2715,208/365-3561,"Brad Turpen, FACHE",,,,,"Susan Vahlberg, Director Employee and Community Relations",,www.wkmh.org,"County, Government, Nonfederal",General medical and surgical,16,
NORTH CANYON MEDICAL CENTER,131302,267 North Canyon Drive,GOODING,Gooding County,IDAHO,83330-5500,208/934-4433,"J'Dee Adams, Chief Executive Officer",,,"Jennifer Olsen, M.D.","Margie McLeod, Director Information Technology","Sara Otto, Chief Compliance Officer","Lisa Mangum, Chief Nursing Officer",https://northcanyon.org/locations/gooding/medical-center/,Other not-for-profit (including NFP Corporation),General medical and surgical,18,348
SYRINGA HOSPITAL AND CLINICS,131315,607 West Main Street,GRANGEVILLE,Idaho County,IDAHO,83530-1396,208/983-1700,"Abner King, Chief Executive Officer",,"Betty A Watson, Chief Financial Officer","Daniel Griffis, M.D.","Darla Whitley, Manager Health Information Technology","Katy Eimers, Human Resources Officer","Cindy Daly, R.N.",www.syringahospital.org,"Hospital district or authority, Government, Nonfederal",General medical and surgical,14,167
EASTERN IDAHO REGIONAL MEDICAL CENTER,130018,3100 Channing  Way,IDAHO FALLS,Bonneville County,IDAHO,83404-7533,208/529-6111,"Elizabeth Hunsicker, Chief Executive Officer","Blake Rose, Chief Operating Officer","Aaron Martin, Chief Financial Officer","Patty Howell, M.D.",,"Wendy Andersen, Director Human Resources","Brandi Allred, Chief Nursing Officer",www.eirmc.com,"Corporation, Investor-owned (for-profit)",General medical and surgical,280,
ST. LUKE'S ELMORE,131311,895 North Sixth East Street,MOUNTAIN HOME,Elmore County,IDAHO,83647-2207,208/587-8401,"Lisa Melchiorre, R.N.","Lisa Melchiorre, R.N.","Tricia Senger, Chief Financial Officer",,,,"Lisa Melchiorre, R.N.",www.stlukesonline.org/elmore/,Other not-for-profit (including NFP Corporation),General medical and surgical,47,198
SAINT ALPHONSUS MEDICAL CENTER – NAMPA,130013,4300 East  Flamingo Avenue,NAMPA,Canyon County,IDAHO,83686-6008,208/205-1000,"Clint Child, R.N.",,"Lannie Checketts, Chief Financial Officer","Dustan Hughes, M.D.","Daniel Wright, Director Information Technology","Stefanie Thiel, Senior Human Resources Business Partner",,https://www.saintalphonsus.org/nampa,"Church operated, Nongovernment, not-for-profit",General medical and surgical,106,1093
ST. LUKE'S NAMPA,130071,9850 West St. Lukes Drive,NAMPA,Canyon County,IDAHO,83687-7912,208/505-2000,"Debora Larson, Chief Operating Officer and Chief Nursing Officer","Debora Larson, Chief Operating Officer and Chief Nursing Officer",,,,,"Debora Larson, Chief Operating Officer and Chief Nursing Officer",https://stlukesonline.org/en/get-care/locations/medical-centers/,Other not-for-profit (including NFP Corporation),General medical and surgical,87,
CLEARWATER VALLEY HEALTH,131320,301 Cedar,OROFINO,Clearwater County,IDAHO,83544-9029,208/476-4555,"Lenne Bonner, Chief Executive Officer",,"Jyl Ruland, Chief Financial Officer",Kelly McGrath,,"Debbie Schumacher, Chief Human Resource Officer",,www.smh-cvhc.org,Other not-for-profit (including NFP Corporation),General medical and surgical,17,211
STATE HOSPITAL NORTH,134019,300 Hospital Drive,OROFINO,Clearwater County,IDAHO,83544-9034,208/476-8819,"Teresa Shackelford, Administrator",,,"Karla Eisele, M.D.","James Sarbacher, Chief Information Officer","Heather Vandenbark, Human Resources Specialist",,https://healthandwelfare.idaho.gov/dhw/state-hospital-north,,Psychiatric,60,
ST. JOSEPH REGIONAL MEDICAL CENTER,130003,415 Sixth Street,LEWISTON,Nez Perce County,IDAHO,83501-2431,208/743-2511,"Edward E. Freysinger, Chief Executive Officer","Taylor Rudd, Chief Operating Officer","Aaron Poole, Chief Financial Officer",,,"Jordan Elben, Director of Human Resources","Holly Urban, R.N.",www.sjrmc.org,"Corporation, Investor-owned (for-profit)",General medical and surgical,90,495
NELL J. REDFIELD MEMORIAL HOSPITAL,131303,150 North 200  West,MALAD CITY,Oneida County,IDAHO,83252-1239,208/766-2231,"John Williams, Administrator and Chief Executive Officer",,"Cindy Howard, Director Financial Services",,,"Kathy Hubbard, Manager Human Resources",,www.oneidahospital.com,"County, Government, Nonfederal",General medical and surgical,11,
ST. LUKE'S MCCALL,131312,1000 State Street,MCCALL,Valley County,IDAHO,83638-3704,208/634-2221,"Amber Green, R.N.","Amber Green, R.N.","Matt Groenig, Vice President Finance",,,,"Amber Green, R.N.",https://www.stlukesonline.org/communities-and-locations/facilities/,Other not-for-profit (including NFP Corporation),General medical and surgical,15,164
COTTONWOOD CREEK BEHAVIORAL HOSPITAL,134017,2131 South Bonito  Way,MERIDIAN,Ada County,IDAHO,83642-1659,208/202-4700,"Kevan Finley, MS",,,"Charles Novak, M.D.",,"Alisha Ortega, Director","Ernesto Esparza, MSN",https://www.cottonwoodcreekboise.com/,"Corporation, Investor-owned (for-profit)",Psychiatric,92,
BEAR LAKE MEMORIAL HOSPITAL,131316,164 South Fifth Street,MONTPELIER,Bear Lake County,IDAHO,83254-1597,208/847-1630,"Arel Hunt, Chief Executive Officer",,,,,,,www.blmhospital.com,"County, Government, Nonfederal",General medical and surgical,57,
GRITMAN MEDICAL CENTER,131327,700 South Main Street,MOSCOW,Latah County,IDAHO,83843-3056,208/882-4511,"Kara Besst, President and Chief Executive Officer",,,"John Brown, M.D.",,,,www.gritman.org,Other not-for-profit (including NFP Corporation),General medical and surgical,54,
MINIDOKA MEMORIAL HOSPITAL,131319,1224 Eighth Street,RUPERT,Minidoka County,IDAHO,83350-1599,208/436-0481,"Tom Murphy, Chief Executive Officer",,"Jason Gibbons, Chief Financial Officer","Kevin Owens, M.D.","Brody Buck, Director Information Technology","Desiree Carr, Director Human Resources","Erinn Neilson, Chief Nursing Officer",www.minidokamemorial.com,"County, Government, Nonfederal",General medical and surgical,64,
BENEWAH COMMUNITY HOSPITAL,131317,229 South Seventh Street,SAINT MARIES,Benewah County,IDAHO,83861-1803,208/245-5551,"Burt Keltner, Chief Executive Officer",,"Lori Minier, Chief Financial Officer","William Wheeler, M.D.","Joseph Getchius, Director Information Technology","Marlana Martin, Director Human Resources","Rhonda Smith, Chief Nursing Officer",www.bchmed.org,"County, Government, Nonfederal",General medical and surgical,19,
STEELE MEMORIAL MEDICAL CENTER,131305,203 South Daisy Street,SALMON,Lemhi County,IDAHO,83467-4709,208/756-5600,"Preston Becker, Chief Executive Officer",,"Ryan Larson, CPA","Adam Deutchman, M.D.",,"Ben Sessions, Human Resources Director","Kelly McNitt, R.N.",www.steelemh.org,"County, Government, Nonfederal",General medical and surgical,18,
BONNER GENERAL HEALTH,131328,520 North Third Avenue,SANDPOINT,Bonner County,IDAHO,83864-1507,208/263-1441,"John Hennessy, Chief Executive Officer",,,"Samuel Uzabel, M.D.","Jeremy Welser, Director Information Systems","Shannon Barnes, Chief Human Resource Officer","Tracy Lynn Autler, R.N.",www.bonnergeneral.org,Other not-for-profit (including NFP Corporation),General medical and surgical,25,
CARIBOU MEDICAL CENTER,131309,"300 South Third West,  ID",SODA SPRINGS,Caribou County,IDAHO,83276-1598,208/547-3341,"Kent Loosle, Chief Executive Officer",,,"John K Franson, M.D.","Johnathan Inskeep, Chief Information Officer","Michael D Peck, Assistant Administrator","Brenda Bergholm, MSN",https://cariboumc.org/,Other not-for-profit (including NFP Corporation),General medical and surgical,25,
PORTNEUF MEDICAL CENTER,130028,777 Hospital Way,POCATELLO,Bannock County,IDAHO,83201-5175,208/239-1000,"Nate Carter, Chief Executive Officer",,"John Abreu, Vice President and Chief Financial Officer",Dan Snell,,"Don Wadle, Interim Director Human Resources","Angela Treasure, Chief Nursing Officer",www.portmed.org,"Corporation, Investor-owned (for-profit)",General medical and surgical,178,1222
NORTHERN IDAHO ADVANCED CARE HOSPITAL,132001,600 North Cecil  Road,POST FALLS,Kootenai County,IDAHO,83854-6200,208/262-2800,"Shane Sanborn, Chief Executive Officer",,,,,,,www.niach.ernesthealth.com,"Corporation, Investor-owned (for-profit)",Acute long-term care hospital,40,
NORTHWEST SPECIALTY HOSPITAL,130066,1593 East Polston Avenue,POST FALLS,Kootenai County,IDAHO,83854-5326,208/262-2300,"Rick Rasmussen, Chief Executive Officer",,,,"Craig McIntosh, Chief Information Officer","Gina Schneider, Director Human Resources","Christi Nance, R.N.",www.northwestspecialtyhospital.com,"Corporation, Investor-owned (for-profit)",Surgical,32,
REHABILITATION HOSPITAL OF THE NORTHWEST,133027,3372 East  u	 n Jenalan Avenue,POST FALLS,Kootenai County,IDAHO,83854-7787,208/262-8700,"Anna-Liisa Pjesky, Chief Nursing Officer and Chief Operating Officer","Anna-Liisa Pjesky, Chief Nursing Officer and Chief Operating Officer",,,,,"Anna-Liisa Pjesky, Chief Nursing Officer and Chief Operating Officer",https://rhn.ernesthealth.com/,"Corporation, Investor-owned (for-profit)",Rehabilitation,25,
FRANKLIN COUNTY MEDICAL CENTER,131322,44 North First East Street,PRESTON,Franklin County,IDAHO,83263-1399,208/852-0137,"Darin Dransfield, Chief Executive Officer",,"Paul Smart, CPA",,,"Courtney Dursteler, Chief Human Resources Officer","Patrica Bowles, R.N.",www.fcmc.org,"County, Government, Nonfederal",General medical and surgical,43,
MADISONHEALTH,130025,450 East Main Street,REXBURG,Madison County,IDAHO,83440-2048,208/359-6900,"Rachel Ann. Gonzales, Chief Executive Officer",,,"Clay Prince, M.D.",,,"Kevin K McEwan, R.N.",https://madisonhealth.org/,"County, Government, Nonfederal",General medical and surgical,64,
ST. LUKE'S MAGIC VALLEY MEDICAL CENTER,130002,801 Pole Line  Road West,TWIN FALLS,Twin Falls County,IDAHO,83301-5810,208/814-1000,"Amy Bradley, Chief Operating Officer and Chief Nursing Officer",,,,"Melissa Capps, Site Leader Information Technology","Mark Stevens, Senior Director Human Resources",,www.stlukesonline.org,Other not-for-profit (including NFP Corporation),General medical and surgical,217,
WEISER MEMORIAL HOSPITAL,131307,645 East Fifth Street,WEISER,Washington County,IDAHO,83672-2202,208/549-0370,"Beau McNeff, Chief Executive Officer",,"Pam Stampfli, CPA","Jordan Blanchard, M.D.",,"Brenna Malone, Manager Human Resources","Hilary Kile, Chief Nursing Officer",www.weisermemorialhospital.org,"Hospital district or authority, Government, Nonfederal",General medical and surgical,13,
MERCYONE GENESIS ALEDO MEDICAL CENTER,141304,409 NW Ninth  Avenue,ALEDO,Mercer County,ILLINOIS,61231-1296,309/582-9100,"Ted Rogalski, Administrator",,"Mark G Rogers, Vice President","Julio Santiago, M.D.","Robert Frieden, Vice President","Tammy Hagedorn, Chief Human Resource Officer","Heidi Hess, Chief Nursing Officer",https://www.genesishealth.com/facilities/location-public-profile/,Other not-for-profit (including NFP Corporation),General medical and surgical,22,60
ALTON MEMORIAL HOSPITAL,140002,1 Memorial Drive,ALTON,Madison County,ILLINOIS,62002-6722,618/463-7311,"David A. Braasch, FACHE","Brad Goacher, Vice President Administration","Susan Koesterer, Vice President","Sebastian Rueckert, M.D.","Jerome Fox, Chief Information Officer","Bryan Hartwick, Vice President Human Resources","Debra Turpin, R.N.",www.altonmemorialhospital.org,Other not-for-profit (including NFP Corporation),General medical and surgical,222,801
ALTON MENTAL HEALTH CENTER,144016,4500 College Avenue,ALTON,Madison County,ILLINOIS,62002-5099,618/474-3800,"Tonya Piephoff, Hospital Administrator",,"Susan Shobe, Director Administration and Support Services","Claudia Kachigion, M.D.",,,,https://www.dhs.state.il.us/page.,,Psychiatric,111,
OSF HEALTHCARE SAINT ANTHONY'S HEALTH CENTER,140052,1 Saint Anthony's Way,ALTON,Madison County,ILLINOIS,62002-4579,618/474-6003,"Zachary Yoder, R.N.","Sister M. Anselma Belongea, Chief Operating Officer","Mathew Hanley, Chief Financial Officer",Dennis Sands,"Georgia Henke, Operational Account Manager","Robyn Grissom, Director of Human Resources","Lisa Schepers, Vice President and Chief Nursing Officer",www.osfsaintanthonys.org,"Church operated, Nongovernment, not-for-profit",General medical and surgical,49,400
CHOATE MENTAL HEALTH CENTER,144038,1000 North Main Street,ANNA,Union County,ILLINOIS,62906-1699,618/833-5161,"Lori Gray, Chief Executive Officer",,,"John Larcas, M.D.","Cindy Flamm, Manager Quality","Tammy Tellor, Acting Director Human Resources",,,,Psychiatric,79,
DEACONESS ILLINOIS UNION COUNTY,141342,517 North Main Street,ANNA,Union County,ILLINOIS,62906-1696,618/833-4511,"Harry Brockus, Chief Executive Officer",,"Terry Paligo, Chief Financial Officer",Christine Lucas,"John Hegger, Director Information Systems","Tammy Davis, Director Human Resources","Tammy H. Wheaton, Interim Chief Nursing Officer",https://deaconessillinoisunioncounty.com/,Other not-for-profit (including NFP Corporation),General medical and surgical,25,107
ENDEAVOR HEALTH NORTHWEST COMMUNITY HOSPITAL,140252,800  West Central Road,ARLINGTON HEIGHTS,Cook County,ILLINOIS,60005-2392,847/618-1000,"David Rahija, FACHE",,"John Skeans, Chief Financial Officer","Alan Loren, M.D.","Glen Malan, Vice President Information Technology and Chief Information Officer","Terry S. Solem, Vice President of Human Resources",,www.nch.org,Other not-for-profit (including NFP Corporation),General medical and surgical,479,3690
PRIME HEALTHCARE MERCY,140174,"1325 North Highland Avenue,  IL",AURORA,Du Page and Kane Counties County,ILLINOIS,60506-1449,630/859-2222,"Fernando Gruta, President","Roxann E. Barber, Regional Ambulatory Care and Ancillary Services Officer","Kevin Larkin, Regional Chief Financial Officer",Anil Gopinath,,"Michael O'Rourke, Regional Human Resource Officer","Grace McBride, Regional Chief Nursing Officer",https://healthcare.ascension.org/locations/illinois/ilchi/aurora-,Other not-for-profit (including NFP Corporation),General medical and surgical,292,
RUSH–COPLEY MEDICAL CENTER,140029,2000 Ogden Avenue,AURORA,Du Page and Kane Counties County,ILLINOIS,60504-7222,630/978-6200,"John A. Diederich, FACHE","Mary Shilkaitis, Senior Vice President","Brenda VanWyhe, Senior Vice President Finance and Chief Financial Officer","Steve B Lowenthal, M.D.","Dennis DeMasie, Vice President Information Systems and Chief Information Officer",,"Abigail Lynn Hornbogen, DNP",www.rushcopley.com,Other not-for-profit (including NFP Corporation),General medical and surgical,210,2221
ADVOCATE GOOD SHEPHERD HOSPITAL,140291,450 West Highway  22,BARRINGTON,Lake County,ILLINOIS,60010-1919,847/381-0123,"Karen A. Lambert, FACHE",,"George Teufel, Vice President Finance","Barry Rosen, M.D.","Chuck Malik, Director Information Systems","Jason Spigner, Vice President Human Resources","Marianne D Araujo, R.N.",www.advocatehealth.com/gshp/,"Church operated, Nongovernment, not-for-profit",General medical and surgical,176,1310
MEMORIAL HOSPITAL BELLEVILLE,140185,4500 Memorial Drive,BELLEVILLE,St. Clair County,ILLINOIS,62226-5399,618/233-7750,"Deborah Graves, R.N.",,"Jane Gusmano, Vice President Finance","Randolph Freeman, M.D.","Jerome Fox, Senior Vice President and Chief Information Officer","John C Ziegler, FACHE","Teresa Halloran, Ph.D.",www.memhosp.com,Other not-for-profit (including NFP Corporation),General medical and surgical,271,1706
FRANKLIN HOSPITAL DISTRICT,141321,201 Bailey Lane,BENTON,Franklin County,ILLINOIS,62812-1969,618/439-3161,"James Johnson, Chief Executive Officer","Derek Johnson Sr, Chief Operating Officer","Rikki S Bonthron, Chief Financial Officer",Richard Rethorst,"David Williams, Director Information Technology",,"Terri Hermann, R.N.",www.franklinhospital.net,"Hospital district or authority, Government, Nonfederal",General medical and surgical,16,317
MACNEAL HOSPITAL,140054,3249 South Oak Park Avenue,BERWYN,Cook County,ILLINOIS,60402-0715,708/783-9100,"Pierre Monice, President",,,"Charles Bareis, M.D.","Tom Haslett, Interim Chief Information Officer",,,www.macneal.com,Other not-for-profit (including NFP Corporation),General medical and surgical,300,1239
OSF ST. JOSEPH MEDICAL CENTER,140162,2200 East Washington Street,BLOOMINGTON,Mclean County,ILLINOIS,61701-4323,815/848-0140,"Eunmee Shim, R.N.",,"John R Zell, Chief Financial Officer","Paul E Pedersen, M.D.",,"Kelley Wagner, Director Employee Relations",,www.osfstjoseph.org,"Church operated, Nongovernment, not-for-profit",General medical and surgical,152,905
UCHICAGO MEDICINE ADVENTHEALTH BOLINGBROOK,140304,500  Remington Boulevard,BOLINGBROOK,Will County,ILLINOIS,60440-4906,630/312-5000,"Kenneth Rose, President and Chief Executive Officer",,"Tristan Shaw, Chief Financial Officer","Richard Carroll, M.D.","John McLendon, Senior Vice President and Chief Information Officer","Katie Baio, Human Resource Director","Jennifer Grenier, R.N.",https://www.adventhealth.com/hospital/adventhealth-bolingbrook,"Church operated, Nongovernment, not-for-profit",General medical and surgical,134,
HSHS ST. JOSEPH'S HOSPITAL BREESE,140145,9515 Holy Cross  Lane,BREESE,Clinton County,ILLINOIS,62230-3618,618/526-4511,"Chris Klay, FACHE",,"John Jeffries, Director Finance",,,"Jed Driemeyer, Director of Human Resources",,https://www.hshs.org/st-josephs-breese/,"Church operated, Nongovernment, not-for-profit",General medical and surgical,36,183
MEMORIAL HOSPITAL ASSOCIATION,141305,1454 North County Road  2050,CARTHAGE,Hancock County,ILLINOIS,62321-3551,217/357-8500,"Ada Bair, Chief Executive Officer","Florine Dixon, Chief Operating Officer","Teresa Smith, Chief Financial Officer",,"Syndi Horn, Director Information Systems","Dan Smith, Director Human Resources",,www.mhtlc.org,Other not-for-profit (including NFP Corporation),General medical and surgical,18,
SSM HEALTH ST. MARY'S HOSPITAL CENTRALIA,140034,400 North  Pleasant Avenue,CENTRALIA,Marion County,ILLINOIS,62801-3056,618/436-8000,"Damon R. Harbison, President",,"Matthew Kinsella, Chief Financial Officer","Rajendra Shroff, M.D.","Steve Murphy, Director Information Systems","Brenda Alexander, System Vice President",,https://www.ssmhealth.com/locations/st-marys-hospital-centralia,"Church operated, Nongovernment, not-for-profit",General medical and surgical,116,425
TOUCHETTE REGIONAL HOSPITAL,140077,5900 Bond Avenue,CENTREVILLE,St. Clair County,ILLINOIS,62207-2326,618/332-3060,"Larry W. McCulley, Chief Executive Officer","Tom Mikkelson, M.D.","John Majchrzak, Chief Financial Officer","Tom Mikkelson, M.D.",,,,www.touchette.org,Other not-for-profit (including NFP Corporation),General medical and surgical,119,
THE PAVILION,144029,809 West Church Street,CHAMPAIGN,Champaign County,ILLINOIS,61820-3399,217/373-1700,"Shaun Doherty, Chief Executive Officer",,"Edith Frasca, Controller and Chief Financial Officer",,,,,www.pavilionhospital.com,"Corporation, Investor-owned (for-profit)",Psychiatric,110,
GRAHAM HOSPITAL,140001,210 West Walnut Street,CANTON,Fulton County,ILLINOIS,61520-2497,309/647-5240,"Robert G. Senneff, FACHE",,"Eric Franz, Vice President",,"Alison Sours, Vice President Quality & Chief Information Officer","Canise A McComb, Director Human Resources","Teresa L McConkey, MSN",www.grahamhealthsystem.org,Other not-for-profit (including NFP Corporation),General medical and surgical,86,959
